model_id,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,7,8,9
conservative,1.4081196581196582,1.2003367003367005,1.8116959064327485,1.9407407407407407,1.5747474747474748,1.7878787878787878,2.313131313131313,1.5243188184364656,1.3373015873015872,1.551984126984127,1.3416666666666668,1.8316176470588237,1.1818181818181819,1.2008928571428572,1.7939814814814816,1.3232323232323233,1.85625,2.258355614973262,2.057109557109557,1.2207792207792207,1.290297937356761,1.619075369075369,2.1317460317460317,1.391005291005291,1.3222811671087533,1.3182539682539682,1.1439393939393938,1.438133874239351,1.4992283950617284,2.0024691358024693,1.7582546108861898,1.0804597701149425,1.8610400682011934,1.1039136302294195,2.3625730994152043,1.2191358024691359,1.2707508017355218,1.9692460317460319,1.6520146520146521,1.2848670062252407,1.3336617405582925,1.3705882352941174,1.705879029296268,1.677326649958229,1.9829545454545456,1.5132275132275133,1.3657407407407407,1.5952380952380951,1.3108289241622575,1.2723311546840959,1.444342105263158,1.7025898078529658,1.7593582887700536,1.3694885361552027,1.615079365079365,1.6633333333333333,1.0738095238095238,1.6645299145299146,1.3333333333333333,2.1189430537256624,1.530473602484472,1.8171296296296298
deepseek,1.2291666666666667,1.3541666666666667,2.0416666666666665,2.038888888888889,1.5,1.9166666666666667,2.1041666666666665,1.5625,1.2083333333333333,2.0,1.5,1.6458333333333333,1.4166666666666667,1.3541666666666667,1.7708333333333333,1.375,1.625,1.8125,1.9166666666666667,1.1875,1.5,1.4791666666666667,1.9791666666666667,1.7916666666666667,1.2083333333333333,1.375,1.3541666666666667,1.8958333333333333,1.6666666666666667,1.8541666666666667,1.5416666666666667,1.2916666666666667,1.7972222222222223,1.1041666666666667,1.9791666666666667,1.4375,1.125,1.8958333333333333,1.4166666666666667,1.1458333333333333,1.4791666666666667,1.5208333333333333,1.8541666666666667,1.5625,2.1041666666666665,1.5208333333333333,1.625,1.1916666666666667,1.2916666666666667,1.6458333333333333,1.6458333333333333,1.9791666666666667,1.9791666666666667,1.4375,1.6875,1.8958333333333333,1.75,1.6041666666666667,1.9583333333333333,1.8347222222222221,1.7708333333333333,2.0
deepseek_small,1.6918049270990447,1.6055964052287581,1.951678951678952,1.9157392686804453,1.6744868035190617,1.90993265993266,1.842245989304813,1.8621509209744505,1.6475507765830348,2.020220588235294,1.8428104575163402,1.9474313022700118,1.6515406162464987,1.567738791423002,2.0133232780291603,1.7319510898458266,1.8658900836320191,1.9822465322465324,1.9213625390095979,1.689031402034498,2.0065934065934066,1.821878329942846,2.182961532961533,1.954739278752437,1.893664717348928,1.8568041725936462,1.962943712943713,1.9853281853281854,1.756483238456673,2.064814814814815,1.866761498340446,1.8102808691043986,1.9369823605117722,1.9360540892798959,2.000307219662058,1.9185402411208863,1.9634634634634633,2.0466348701642816,1.9196696696696698,1.6352506352506353,1.8307254623044098,1.924415171473995,1.9188925767873137,1.9805068226120859,2.001231527093596,2.0427350427350426,2.0161209619413953,1.8821661998132584,1.6823020388809864,1.878136200716846,1.8626373626373625,2.031416313674378,2.011437908496732,1.6864621446664791,1.9624624624624625,1.9544401544401546,1.901375059269796,1.8732804232804234,1.968018018018018,1.9745098039215687,1.896060346060346,1.9792717086834732
gpt-oss,1.7571428571428571,1.5776353276353277,2.0,1.962962962962963,1.5555555555555556,1.9607843137254903,2.1999999999999997,1.7777777777777777,1.4653679653679654,2.0,1.8333333333333333,2.066666666666667,1.8273809523809526,1.8546296296296294,2.0,1.9666666666666668,1.962962962962963,2.0370370370370368,2.0844155844155843,1.9047619047619049,1.8111111111111111,1.7444444444444445,1.9423076923076923,1.8138888888888889,1.837962962962963,1.8677248677248677,1.9476190476190476,1.8904761904761906,1.8,2.2666666666666666,1.9166666666666667,1.800865800865801,1.9333333333333333,1.6666666666666667,1.9047619047619049,1.632936507936508,1.5555555555555556,1.9743589743589745,1.9444444444444444,1.6726190476190474,1.9743589743589745,1.7896825396825398,1.9546296296296297,2.087037037037037,2.1999999999999997,2.0,1.888888888888889,2.055555555555556,1.8611111111111114,1.9285714285714286,2.0,1.888888888888889,2.0,1.825,1.962962962962963,1.9153439153439153,2.0416666666666665,2.217338217338218,2.0833333333333335,2.3333333333333335,1.9833333333333336,2.0256410256410255
gpt4,1.25,1.4166666666666667,1.8125,2.0,1.2708333333333333,2.0416666666666665,2.0833333333333335,1.5208333333333333,1.0,2.0,1.625,1.5,1.6041666666666667,1.2291666666666667,1.9583333333333333,1.3125,1.6041666666666667,1.8125,2.1875,1.0,1.8125,1.1875,2.125,1.8333333333333333,1.2291666666666667,1.4583333333333333,1.4375,1.8958333333333333,1.7291666666666667,1.9583333333333333,1.5833333333333333,1.0416666666666667,2.0208333333333335,1.0625,2.0208333333333335,1.4375,1.125,2.0625,1.625,1.0416666666666667,1.4791666666666667,1.4166666666666667,1.7708333333333333,1.6666666666666667,1.8333333333333333,1.7916666666666667,1.75,1.375,1.2083333333333333,1.6902777777777775,1.625,1.8541666666666667,2.0833333333333335,1.0416666666666667,1.8958333333333333,1.9791666666666667,1.8333333333333333,1.75,2.0,1.9375,1.7083333333333333,1.8958333333333333
grok,1.3333333333333333,1.375,2.0833333333333335,2.0625,1.7708333333333333,1.9736111111111112,2.2708333333333335,1.4583333333333333,1.3541666666666667,1.9166666666666667,1.375,1.6458333333333333,1.5263888888888888,1.7083333333333333,1.7916666666666667,1.4166666666666667,1.75,1.7291666666666667,2.2916666666666665,1.2083333333333333,1.830128205128205,1.4375,2.125,1.8333333333333333,1.3541666666666667,1.4791666666666667,1.5833333333333333,2.0,1.7541666666666667,2.2351190476190474,1.7291666666666667,1.4791666666666667,1.8541666666666667,1.3333333333333333,2.0208333333333335,1.5,1.1875,2.1458333333333335,1.9583333333333333,1.5,1.5208333333333333,1.6041666666666667,1.75,1.875,2.286111111111111,2.0,1.9791666666666667,1.5888888888888888,1.125,1.7410714285714286,1.5208333333333333,1.9013888888888888,1.7916666666666667,1.375,1.2291666666666667,2.1041666666666665,1.3333333333333333,1.6041666666666667,2.0416666666666665,2.127314814814815,1.8125,2.0805555555555557
liberal,1.3132478632478632,1.1173268506601841,1.7308695652173913,1.828089322342196,1.412655971479501,1.3319802802561422,2.1436507936507936,1.5788923719958203,1.088023088023088,1.5768398268398267,1.3476218323586746,1.5035612535612535,1.1680672268907564,1.533650153609831,1.2285353535353536,1.4102564102564104,1.4787166856132374,2.172982456140351,2.2826391463766322,1.2672839506172837,1.2151475975005386,1.3169191919191918,2.21415770609319,1.192942942942943,1.2809782608695652,1.2646437198067633,1.3121237000547346,1.3944973544973545,1.1803643632729088,2.057518115942029,1.8216931216931218,1.1765051997810618,1.6345508334755647,1.1616161616161618,1.4101960784313725,1.3029519500107736,1.2190396737115312,1.4698558540563935,1.7391774891774892,1.0870370370370372,1.1669823232323233,1.363997113997114,1.7376847290640394,1.6941160372194854,2.0046296296296298,1.3017283950617284,1.5402394876079086,1.7192293133469603,1.281705948372615,1.4333333333333336,1.5348528015194682,1.5637935729847492,1.652084512356159,1.2124935995903738,1.3984126984126986,1.6303378613723443,1.2243589743589745,1.725942684766214,1.3376543209876541,1.7742622117853857,1.4546031746031745,1.8037356321839082
llama3,1.085297418630752,1.258362282878412,1.5991379310344829,2.2294764059469943,1.4640732265446224,1.5055185754110487,1.6675154910449026,1.508592132505176,1.2181927469445002,1.866811909949165,1.7966666666666666,1.3607142857142858,1.175084175084175,1.1769453734671125,1.5285547785547784,1.2246758199847443,1.7758284600389864,2.0984219001610307,2.1011904761904763,1.1911635275479668,1.4922463768115943,1.6119140989729226,2.090185676392573,1.5218759018759018,1.4007692307692308,1.2896825396825398,1.5197601199400301,1.3317250252734125,2.019047619047619,2.282239789196311,2.056104666560729,1.4117679255610291,1.7578502415458936,1.3665458937198067,1.7806324110671936,1.1557971014492754,1.3097691894793344,2.0432606609077197,1.620910973084886,1.479781903919835,1.5287697342395798,1.3716256157635467,1.608068514762227,1.7455908289241622,2.5100478468899525,1.3717948717948716,1.7103174603174605,1.236111111111111,1.3502886002886003,1.7181779480630055,1.211111111111111,2.0216450216450217,1.9332894736842106,1.2048484848484848,1.426984126984127,1.6921052631578946,1.6722112428634166,1.589441930618401,1.5316624895572264,1.7185960591133007,1.499300614243143,1.9501149425287359
llama3_big,1.0897435897435896,1.1761904761904762,1.7870148856990964,2.2236097236097234,1.1302564102564103,1.291979251979252,1.6806327160493826,1.3544444444444446,1.0793075684380031,1.783068783068783,1.1923076923076923,1.1472222222222221,1.3110766045548654,1.1907194550872713,1.4570900824097752,1.1700483091787437,1.4342929292929292,1.6899835796387521,2.3052619843924194,1.1234567901234567,1.5203619909502262,1.2930796801764544,1.8408748114630467,1.3425465838509316,1.1231216931216932,1.4423113118765294,1.3506944444444444,1.5917907523510972,1.4622222222222223,2.6426171529619804,1.9178030303030305,1.0845410628019325,1.6531846858525625,1.2856565656565655,1.8205128205128205,1.3755411255411254,1.188095238095238,1.9118908382066275,1.6576879910213245,1.1408045977011494,1.2796857463524132,1.494089244089244,1.4626225490196079,1.737878787878788,2.1910408432147563,1.6873897707231038,1.9631834215167547,1.4708058608058607,1.0503703703703704,1.4182194616977226,1.49208211143695,1.795959595959596,1.7891984864121087,1.217685758513932,1.486413043478261,2.0569069733156415,1.2142708550031205,1.6151260504201679,1.6666666666666667,1.866089466089466,1.4757137560252132,1.6235897435897435
